Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
02012.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
02030.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
02111.no,Federal agency,Skatt Øst,Oslo,Oslo,Oslo,Norway,991733043,6100 - Stats- og trygdeforvaltningen
02233.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
02800.no,Federal agency,Politiets Ikt-Tjenester,Oslo,Oslo,Oslo,Norway,912814076,6100 - Stats- og trygdeforvaltningen
03012.no,Federal agency,Toll- og Avgiftsdirektoratet,Oslo,Oslo,Oslo,Norway,974761343,6100 - Stats- og trygdeforvaltningen
04012.no,Federal agency,Toll- og Avgiftsdirektoratet,Oslo,Oslo,Oslo,Norway,974761343,6100 - Stats- og trygdeforvaltningen
04110.no,Federal agency,Justis- og Beredskapsdepartementet,Oslo,Oslo,Oslo,Norway,972417831,6100 - Stats- og trygdeforvaltningen
04812.no,Federal agency,Toll- og Avgiftsdirektoratet,Oslo,Oslo,Oslo,Norway,974761343,6100 - Stats- og trygdeforvaltningen
06040.no,Federal agency,Mattilsynet,Brumunddal,Oslo,Oslo,Norway,985399077,6100 - Stats- og trygdeforvaltningen
06041.no,Federal agency,Mattilsynet,Brumunddal,Oslo,Oslo,Norway,985399077,6100 - Stats- og trygdeforvaltningen
06640.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
110.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
112.no,Federal agency,Justis- og Beredskapsdepartementet,Oslo,Oslo,Oslo,Norway,972417831,6100 - Stats- og trygdeforvaltningen
113.no,Federal agency,Helsedirektoratet,Oslo,Oslo,Oslo,Norway,983544622,6100 - Stats- og trygdeforvaltningen
113-midtnorge.no,Federal agency,St Olavs Hospital Hf,Trondheim,Sør-Trøndelag,Trondheim,Norway,883974832,6100 - Stats- og trygdeforvaltningen
141.no,Federal agency,Justis- og Beredskapsdepartementet,Oslo,Oslo,Oslo,Norway,972417831,6100 - Stats- og trygdeforvaltningen
1412.no,Federal agency,Justis- og Beredskapsdepartementet,Oslo,Oslo,Oslo,Norway,972417831,6100 - Stats- og trygdeforvaltningen
1700-tallet.no,Federal agency,Universitetet I Oslo,Oslo,Oslo,Oslo,Norway,971035854,6100 - Stats- og trygdeforvaltningen
175.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
17mai1814.no,Federal agency,Norsk Folkemuseum,Oslo,Oslo,Oslo,Norway,970010815,6100 - Stats- og trygdeforvaltningen
2282.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
22julikommisjonen.no,Federal agency,Statsministerens Kontor,Oslo,Oslo,Oslo,Norway,972417777,6100 - Stats- og trygdeforvaltningen
22julisenteret.no,Federal agency,Departementenes Sikkerhets- og Serviceorganisasjon (Dss),Oslo,Oslo,Oslo,Norway,974761424,6100 - Stats- og trygdeforvaltningen
22julycentre.no,Federal agency,Departementenes Sikkerhets- og Serviceorganisasjon (Dss),Oslo,Oslo,Oslo,Norway,974761424,6100 - Stats- og trygdeforvaltningen
2-tusen.no,Federal agency,Statped,Oslo,Oslo,Oslo,Norway,998554640,6100 - Stats- og trygdeforvaltningen
5gsig.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
65pluss.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
73899440.no,Federal agency,Sør-Trøndelag Politidistrikt,Trondheim,Sør-Trøndelag,Trondheim,Norway,983998631,6100 - Stats- og trygdeforvaltningen
80031212.no,Federal agency,Toll- og Avgiftsdirektoratet,Oslo,Oslo,Oslo,Norway,974761343,6100 - Stats- og trygdeforvaltningen
800helse.no,Federal agency,Helsedirektoratet,Oslo,Oslo,Oslo,Norway,983544622,6100 - Stats- og trygdeforvaltningen
abcpc.no,Federal agency,Vox-Nasjonalt Fagorgan For Kompetansepolitikk,Oslo,Oslo,Oslo,Norway,974788985,6100 - Stats- og trygdeforvaltningen
abup.no,Federal agency,Sørlandet Sykehus Hf,Kristiansand S,Vest-Agder,Kristiansand,Norway,983975240,6100 - Stats- og trygdeforvaltningen
acdl.no,Federal agency,Arkitektur og Designhøgskolen I Oslo Aho,Oslo,Oslo,Oslo,Norway,971526378,6100 - Stats- og trygdeforvaltningen
acm.no,Federal agency,Statped,Oslo,Oslo,Oslo,Norway,998554640,6100 - Stats- og trygdeforvaltningen
acm1.no,Federal agency,Statped,Oslo,Oslo,Oslo,Norway,998554640,6100 - Stats- og trygdeforvaltningen
acmollerskole.no,Federal agency,Statped,Oslo,Oslo,Oslo,Norway,998554640,6100 - Stats- og trygdeforvaltningen
acredit.no,Federal agency,Akershus Universitetssykehus Hf,Lørenskog,Akershus,Lørenskog,Norway,983971636,6100 - Stats- og trygdeforvaltningen
actingfestival.no,Federal agency,Kunsthøgskolen I Oslo,Oslo,Oslo,Oslo,Norway,977027233,6100 - Stats- og trygdeforvaltningen
activesmarterkids.no,Federal agency,Høgskulen I Sogn og Fjordane,Sogndal,Sogn og Fjordane,Sogndal,Norway,974246724,6100 - Stats- og trygdeforvaltningen
addiction.no,Federal agency,Sørlandet Sykehus Hf,Kristiansand S,Vest-Agder,Kristiansand,Norway,983975240,6100 - Stats- og trygdeforvaltningen
additivemanufacturing.no,Federal agency,Høgskolen I Gjøvik,Gjøvik,Oppland,Gjøvik,Norway,970937668,6100 - Stats- og trygdeforvaltningen
additivtilvirkning.no,Federal agency,Høgskolen I Gjøvik,Gjøvik,Oppland,Gjøvik,Norway,970937668,6100 - Stats- og trygdeforvaltningen
addlab.no,Federal agency,Høgskolen I Gjøvik,Gjøvik,Oppland,Gjøvik,Norway,970937668,6100 - Stats- og trygdeforvaltningen
adeo.no,Federal agency,Arbeids- og Velferdsetaten,Oslo,Oslo,Oslo,Norway,889640782,6100 - Stats- og trygdeforvaltningen
adhdbehandlingslinje.no,Federal agency,Sykehuset Østfold Hf,Grålum,Østfold,Fredrikstad,Norway,983971768,6100 - Stats- og trygdeforvaltningen
adhd-behandlingslinje.no,Federal agency,Sykehuset Østfold Hf,Grålum,Østfold,Fredrikstad,Norway,983971768,6100 - Stats- og trygdeforvaltningen
adila.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
adopsjon.no,Federal agency,"Barne-, Ungdoms- og Familiedirektoratet",Tønsberg,Oslo,Oslo,Norway,986128433,6100 - Stats- og trygdeforvaltningen
adrrid.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
adr-rid.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
affu.no,Federal agency,St Olavs Hospital Hf,Trondheim,Sør-Trøndelag,Trondheim,Norway,883974832,6100 - Stats- og trygdeforvaltningen
afterm.no,Federal agency,Kystverket,Ålesund,Møre og Romsdal,Ålesund,Norway,874783242,6100 - Stats- og trygdeforvaltningen
agderu.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
