Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
abvann.no,Local or regional government,Asker og Bærum Vannverk Iks,Lommedalen,Akershus,Bærum,Norway,974636972,6500 - Kommuneforvaltningen
adm-ivest.no,Local or regional government,Hordaland Fylkeskommune,Bergen,Hordaland,Bergen,Norway,938626367,6500 - Kommuneforvaltningen
adonde.no,Local or regional government,Midtre Namdal Samkommune,Namsos,Nord-Trøndelag,Namsos,Norway,995012766,6500 - Kommuneforvaltningen
adventsfestivalen.no,Local or regional government,Drammen Kirkelig Fellesråd,Drammen,Buskerud,Drammen,Norway,976989732,6500 - Kommuneforvaltningen
aekf.no,Local or regional government,Arendal Eiendom Kf,Arendal,Aust-Agder,Arendal,Norway,895479322,6500 - Kommuneforvaltningen
afjordlegekontor.no,Local or regional government,Åfjord Kommune,Åfjord,Sør-Trøndelag,Åfjord,Norway,964982864,6500 - Kommuneforvaltningen
afjordutvikling.no,Local or regional government,Åfjord Kommune,Åfjord,Sør-Trøndelag,Åfjord,Norway,964982864,6500 - Kommuneforvaltningen
afk.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
afk-it.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
agder-fk.no,Local or regional government,Vest-Agder Fylkeskommune Utdanningsavdelingen,Kristiansand S,Vest-Agder,Kristiansand,Norway,874778532,6500 - Kommuneforvaltningen
agderforalle.no,Local or regional government,Vest-Agder Fylkeskommune,Kristiansand S,Vest-Agder,Kristiansand,Norway,960895827,6500 - Kommuneforvaltningen
agderfylkeskommune.no,Local or regional government,Vest-Agder Fylkeskommune Utdanningsavdelingen,Kristiansand S,Vest-Agder,Kristiansand,Norway,874778532,6500 - Kommuneforvaltningen
agder-ikt.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
agderkirken.no,Local or regional government,Arendal Kirkelige Fellesråd,Grimstad,Aust-Agder,Arendal,Norway,976992148,6500 - Kommuneforvaltningen
agderliving.no,Local or regional government,Aust-Agder Fylkeskommune,Arendal,Aust-Agder,Arendal,Norway,943039046,6500 - Kommuneforvaltningen
agderrenovasjon.no,Local or regional government,Agder Renovasjon Iks,Arendal,Aust-Agder,Arendal,Norway,997765494,6500 - Kommuneforvaltningen
agderskolen.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
agderteater.no,Local or regional government,Kilden Teater- og Konserthus For Sørlandet Iks,Kristiansand S,Vest-Agder,Kristiansand,Norway,986471839,6500 - Kommuneforvaltningen
agent110.no,Local or regional government,Oslo Kommune Brann- og Redningsetaten,Oslo,Oslo,Oslo,Norway,876820102,6500 - Kommuneforvaltningen
agnarmykle.no,Local or regional government,Sør-Trøndelag Fylkeskommune Fylkesrådmannen,Trondheim,Sør-Trøndelag,Trondheim,Norway,974783339,6500 - Kommuneforvaltningen
ahbygdetun.no,Local or regional government,Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.,Strømmen,Akershus,Skedsmo,Norway,974235390,6500 - Kommuneforvaltningen
ahk.no,Local or regional government,Aurskog-Høland Kommune,Bjørkelangen,Akershus,Aurskog-Høland,Norway,948164256,6500 - Kommuneforvaltningen
akasia.no,Local or regional government,Bergen Kirkelige Fellesråd,Bergen,Hordaland,Bergen,Norway,976994434,6500 - Kommuneforvaltningen
akerfallet.no,Local or regional government,Tingvoll Kommune,Tingvoll,Møre og Romsdal,Tingvoll,Norway,964981515,6500 - Kommuneforvaltningen
akershus-fk.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
akershushelsa.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
akershus-international.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
akershusmuseet.no,Local or regional government,Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.,Strømmen,Akershus,Skedsmo,Norway,974235390,6500 - Kommuneforvaltningen
akershusposten.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
akersmus.no,Local or regional government,Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.,Strømmen,Akershus,Skedsmo,Norway,974235390,6500 - Kommuneforvaltningen
aknes.no,Local or regional government,Åknes/Tafjord Beredskap Iks,Stranda,Møre og Romsdal,Stranda,Norway,893276882,6500 - Kommuneforvaltningen
akrakirke.no,Local or regional government,Åkra Sokn,Åkrehamn,Rogaland,Karmøy,Norway,974340976,6500 - Kommuneforvaltningen
aks.no,Local or regional government,Hammerfest Kommune,Hammerfest,Finnmark,Hammerfest,Norway,964830533,6500 - Kommuneforvaltningen
akst.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
aktiveiker.no,Local or regional government,Øvre Eiker Kommune,Hokksund,Buskerud,Øvre Eiker,Norway,954597482,6500 - Kommuneforvaltningen
aktivhelgeland.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
aktivhms.no,Local or regional government,Larvik Kommune,Larvik,Vestfold,Larvik,Norway,948930560,6500 - Kommuneforvaltningen
aktiviaustrheim.no,Local or regional government,Austrheim Kommune,Austrheim,Hordaland,Austrheim,Norway,948350823,6500 - Kommuneforvaltningen
aktiviskjaak.no,Local or regional government,Skjåk Kommune,Skjåk,Oppland,Skjåk,Norway,961381096,6500 - Kommuneforvaltningen
aktivitet1.no,Local or regional government,Sauherad Kommune,Akkerhaugen,Telemark,Sauherad,Norway,964963460,6500 - Kommuneforvaltningen
aktivitetshusetvolt.no,Local or regional government,Lørenskog Kommune Kultursektoren,Lørenskog,Akershus,Lørenskog,Norway,974637936,6500 - Kommuneforvaltningen
aktivrast.no,Local or regional government,Tvedestrand Kommune,Tvedestrand,Aust-Agder,Tvedestrand,Norway,964965781,6500 - Kommuneforvaltningen
akutt-forurensning-region2.no,Local or regional government,Nedre Romerike Brann- og Redningsvesen Iks,Nordbyhagen,Akershus,Lørenskog,Norway,976634438,6500 - Kommuneforvaltningen
al52.no,Local or regional government,Ål Kommune,Ål,Buskerud,Ål,Norway,864952992,6500 - Kommuneforvaltningen
alav.no,Local or regional government,Årdal Kommune,Årdalstangen,Sogn og Fjordane,Årdal,Norway,954679721,6500 - Kommuneforvaltningen
aldersvennligby.no,Local or regional government,Trondheim Kommune Kultur og Næring,Trondheim,Sør-Trøndelag,Trondheim,Norway,970088644,6500 - Kommuneforvaltningen
alenskisenter.no,Local or regional government,Holtålen Kommune,Ålen,Sør-Trøndelag,Holtålen,Norway,937697767,6500 - Kommuneforvaltningen
alesund.folkebibl.no,Local or regional government,Ålesund Kommune,Ålesund,Møre og Romsdal,Ålesund,Norway,942953119,6500 - Kommuneforvaltningen
alesundkommune.no,Local or regional government,Ålesund Kommune,Ålesund,Møre og Romsdal,Ålesund,Norway,942953119,6500 - Kommuneforvaltningen
alledager.no,Local or regional government,Eidsvoll Kirkelig Fellesråd,Eidsvoll,Akershus,Eidsvoll,Norway,976986911,6500 - Kommuneforvaltningen
allkunne.no,Local or regional government,Nynorsk Kultursentrum,Hovdebygda,Møre og Romsdal,Ørsta,Norway,976013263,6500 - Kommuneforvaltningen
