Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
grensetjenesten.no,Local or regional government,Eidskog Næringsservice Kf,Magnor,Hedmark,Eidskog,Norway,983651631,6500 - Kommuneforvaltningen
grenseungdom.no,Local or regional government,Marker Kommune,Ørje,Østfold,Marker,Norway,964944334,6500 - Kommuneforvaltningen
greverudhallen.no,Local or regional government,Oppegård Kommune,Kolbotn,Akershus,Oppegård,Norway,944384081,6500 - Kommuneforvaltningen
grib.no,Local or regional government,Øvre Romerike Brann og Redning Iks,Jessheim,Akershus,Ullensaker,Norway,987615516,6500 - Kommuneforvaltningen
griegart.no,Local or regional government,Oseana Os Kunst- og Kultursenter Kf,Os,Hordaland,Os (Hordaland),Norway,996347435,6500 - Kommuneforvaltningen
griks.no,Local or regional government,Hedmark Revisjon Iks,Løten,Hedmark,Løten,Norway,974644576,6500 - Kommuneforvaltningen
grimkirke.no,Local or regional government,Grim Sokn,Kristiansand S,Vest-Agder,Kristiansand,Norway,976992547,6500 - Kommuneforvaltningen
grimmenighet.no,Local or regional government,Grim Sokn,Kristiansand S,Vest-Agder,Kristiansand,Norway,976992547,6500 - Kommuneforvaltningen
grimstad200.no,Local or regional government,Grimstad Kommune,Grimstad,Aust-Agder,Grimstad,Norway,864964702,6500 - Kommuneforvaltningen
grimstadgjestehavn.no,Local or regional government,Grimstad Kommune,Grimstad,Aust-Agder,Grimstad,Norway,864964702,6500 - Kommuneforvaltningen
grimstadhavn.no,Local or regional government,Grimstad Kommune,Grimstad,Aust-Agder,Grimstad,Norway,864964702,6500 - Kommuneforvaltningen
grimstadkulturhus.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
grimstad-kulturskole.no,Local or regional government,Grimstad Kommune,Grimstad,Aust-Agder,Grimstad,Norway,864964702,6500 - Kommuneforvaltningen
grimstadskolen.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
grindstugu.no,Local or regional government,Vågå Kommune,Vågå,Oppland,Vågå,Norway,939607706,6500 - Kommuneforvaltningen
grinilund-menighet.no,Local or regional government,Grinilund Sokn,Sandvika,Akershus,Bærum,Norway,976986377,6500 - Kommuneforvaltningen
grodemskole.no,Local or regional government,Randaberg Kommune,Randaberg,Rogaland,Randaberg,Norway,934945514,6500 - Kommuneforvaltningen
gronglegekontor.no,Local or regional government,Grong Kommune,Grong,Nord-Trøndelag,Grong,Norway,940010853,6500 - Kommuneforvaltningen
gronliskole.no,Local or regional government,Porsgrunn Kommune,Porsgrunn,Telemark,Porsgrunn,Norway,939991034,6500 - Kommuneforvaltningen
gronnbusiness.no,Local or regional government,Regionrådet For Glåmdalsregionen,Kongsvinger,Hedmark,Kongsvinger,Norway,995192691,6500 - Kommuneforvaltningen
gronn-business.no,Local or regional government,Regionrådet For Glåmdalsregionen,Kongsvinger,Hedmark,Kongsvinger,Norway,995192691,6500 - Kommuneforvaltningen
gronndal.no,Local or regional government,Numedalsutvikling Iks,Veggli,Buskerud,Rollag,Norway,987939532,6500 - Kommuneforvaltningen
gronndata.no,Local or regional government,Vestfold Fylkeskommune,Tønsberg,Vestfold,Tønsberg,Norway,944025391,6500 - Kommuneforvaltningen
gronnloype.no,Local or regional government,Midt-Agder Friluftsråd,Kristiansand S,Vest-Agder,Kristiansand,Norway,975641716,6500 - Kommuneforvaltningen
gronnportal.no,Local or regional government,Reno-Vest Iks,Sortland,Nordland,Sortland,Norway,971037202,6500 - Kommuneforvaltningen
gront-flagg-nt.no,Local or regional government,Innherred Renovasjon Iks,Verdal,Nord-Trøndelag,Verdal,Norway,971217391,6500 - Kommuneforvaltningen
grontoslo.no,Local or regional government,Oslo Kommune Bymiljøetaten,Oslo,Oslo,Oslo,Norway,996922766,6500 - Kommuneforvaltningen
grorudhimmel.no,Local or regional government,Grorud Sokn,Oslo,Oslo,Oslo,Norway,911852705,6500 - Kommuneforvaltningen
grorudsokn.no,Local or regional government,Grorud Sokn,Oslo,Oslo,Oslo,Norway,911852705,6500 - Kommuneforvaltningen
grotvedtbarnehage.no,Local or regional government,Askim Kommune,Askim,Østfold,Askim,Norway,840894312,6500 - Kommuneforvaltningen
grotvedtskole.no,Local or regional government,Askim Kommune,Askim,Østfold,Askim,Norway,840894312,6500 - Kommuneforvaltningen
grue.folkebibl.no,Local or regional government,Grue Kommune,Kirkenær,Hedmark,Grue,Norway,964948143,6500 - Kommuneforvaltningen
grueskole.no,Local or regional government,Grue Kommune,Kirkenær,Hedmark,Grue,Norway,964948143,6500 - Kommuneforvaltningen
grundercenter.no,Local or regional government,Troms Fylkeskommune,Tromsø,Troms,Tromsø,Norway,864870732,6500 - Kommuneforvaltningen
grunderfestivalen.no,Local or regional government,Vekst I Grenland Iks,Skien,Telemark,Skien,Norway,913559363,6500 - Kommuneforvaltningen
grunderfylket.no,Local or regional government,Telemark Fylkeskommune,Skien,Telemark,Skien,Norway,940192226,6500 - Kommuneforvaltningen
grunderhotellet.no,Local or regional government,Porsgrunn Kommune,Porsgrunn,Telemark,Porsgrunn,Norway,939991034,6500 - Kommuneforvaltningen
grundersenter.no,Local or regional government,Aust-Agder Fylkeskommune,Arendal,Aust-Agder,Arendal,Norway,943039046,6500 - Kommuneforvaltningen
grunderuka.no,Local or regional government,Vekst I Grenland Iks,Skien,Telemark,Skien,Norway,913559363,6500 - Kommuneforvaltningen
grunderukatelemark.no,Local or regional government,Vekst I Grenland Iks,Skien,Telemark,Skien,Norway,913559363,6500 - Kommuneforvaltningen
grunderuka-telemark.no,Local or regional government,Vekst I Grenland Iks,Skien,Telemark,Skien,Norway,913559363,6500 - Kommuneforvaltningen
grunderveka.no,Local or regional government,Vekst I Grenland Iks,Skien,Telemark,Skien,Norway,913559363,6500 - Kommuneforvaltningen
grunnlovsjubileetbaerum.no,Local or regional government,Bærum Kommune,Sandvika,Akershus,Bærum,Norway,935478715,6500 - Kommuneforvaltningen
gruvehistorie.no,Local or regional government,Stiftelsen Museum Nord,Melbu,Nordland,Hadsel,Norway,985888299,6500 - Kommuneforvaltningen
gryteretter.no,Local or regional government,Drammen Kjøkken Kf,Drammen,Buskerud,Drammen,Norway,990661375,6500 - Kommuneforvaltningen
gs.nordkapp.no,Local or regional government,Nordkapp Kommune,Honningsvåg,Finnmark,Nordkapp,Norway,938469415,6500 - Kommuneforvaltningen
gs-iks.no,Local or regional government,Glåmdal Sekretariat Iks,Kongsvinger,Hedmark,Kongsvinger,Norway,989541471,6500 - Kommuneforvaltningen
gskole.no,Local or regional government,Hordaland Fylkeskommune,Bergen,Hordaland,Bergen,Norway,938626367,6500 - Kommuneforvaltningen
g-skole.no,Local or regional government,Levanger Kommune,Levanger,Nord-Trøndelag,Levanger,Norway,938587051,6500 - Kommuneforvaltningen
gubben.no,Local or regional government,Malvik Kommune,Hommelvik,Sør-Trøndelag,Malvik,Norway,971035560,6500 - Kommuneforvaltningen
gudbrandsdal-krisesenter.no,Local or regional government,Gudbrandsdal Krisesenter Interkommunalt Selskap,Lillehammer,Oppland,Lillehammer,Norway,998836050,6500 - Kommuneforvaltningen
gudbrandsdalsmusea.no,Local or regional government,Gudbrandsdalsmusea AS,Otta,Oppland,Sel,Norway,993039160,6500 - Kommuneforvaltningen
guide.trondheim.no,Local or regional government,Trondheim Kommune Kultur og Næring,Trondheim,Sør-Trøndelag,Trondheim,Norway,970088644,6500 - Kommuneforvaltningen
gulatinget.no,Local or regional government,Gulen Kommune,Eivindvik,Sogn og Fjordane,Gulen,Norway,938497524,6500 - Kommuneforvaltningen
gullhaug-barnehage.no,Local or regional government,Holmestrand Kommune,Holmestrand,Vestfold,Holmestrand,Norway,838500382,6500 - Kommuneforvaltningen
gulliste.no,Local or regional government,Oslo Kommune Byantikvaren,Oslo,Oslo,Oslo,Norway,976819993,6500 - Kommuneforvaltningen
gulsetkirke.no,Local or regional government,Gulset Sokn,Skien,Telemark,Skien,Norway,876991152,6500 - Kommuneforvaltningen
gulsetmenighet.no,Local or regional government,Gulset Sokn,Skien,Telemark,Skien,Norway,876991152,6500 - Kommuneforvaltningen
gulvboka.no,Local or regional government,Asker Kommune,Asker,Akershus,Asker,Norway,944382038,6500 - Kommuneforvaltningen
gurigard.no,Local or regional government,Regionrådet For Hallingdal,Torpo,Buskerud,Ål,Norway,975576469,6500 - Kommuneforvaltningen
gurisenteret.no,Local or regional government,Smøla Kommune,Smøla,Møre og Romsdal,Smøla,Norway,945012986,6500 - Kommuneforvaltningen
gurisentret.no,Local or regional government,Smøla Kommune,Smøla,Møre og Romsdal,Smøla,Norway,945012986,6500 - Kommuneforvaltningen
gurispelet.no,Local or regional government,Smøla Kommune,Smøla,Møre og Romsdal,Smøla,Norway,945012986,6500 - Kommuneforvaltningen
gurispillet.no,Local or regional government,Smøla Kommune,Smøla,Møre og Romsdal,Smøla,Norway,945012986,6500 - Kommuneforvaltningen
guttedag.no,Local or regional government,Haugesund Kommune,Haugesund,Rogaland,Haugesund,Norway,944073787,6500 - Kommuneforvaltningen
gylandmenighet.no,Local or regional government,Flekkefjord Kirkelige Fellesråd,Flekkefjord,Vest-Agder,Flekkefjord,Norway,976992776,6500 - Kommuneforvaltningen
gylandskole.no,Local or regional government,Flekkefjord Kommune,Flekkefjord,Vest-Agder,Flekkefjord,Norway,964967369,6500 - Kommuneforvaltningen
gyldnemiddelvei.no,Local or regional government,Hitra Kommune,Hitra,Sør-Trøndelag,Hitra,Norway,938772924,6500 - Kommuneforvaltningen
gyrofri.no,Local or regional government,Vestfold Fylkeskommune,Tønsberg,Vestfold,Tønsberg,Norway,944025391,6500 - Kommuneforvaltningen
gaavnoes.no,Local or regional government,Sør-Trøndelag Fylkeskommune,Trondheim,Sør-Trøndelag,Trondheim,Norway,938634556,6500 - Kommuneforvaltningen
hadelanddigital.no,Local or regional government,Jevnaker Kommune,Jevnaker,Oppland,Jevnaker,Norway,961381363,6500 - Kommuneforvaltningen
hadelanddigitalt.no,Local or regional government,Jevnaker Kommune,Jevnaker,Oppland,Jevnaker,Norway,961381363,6500 - Kommuneforvaltningen
hadeland-kommune.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
hadelandkultursal.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
hadelandkulturskole.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
hadelandskolen.no,Local or regional government,Lunner Kommune,Roa,Oppland,Lunner,Norway,961381452,6500 - Kommuneforvaltningen
hadelandsregionen.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
hadsellegetjeneste.no,Local or regional government,Hadsel Kommune,Stokmarknes,Nordland,Hadsel,Norway,958501420,6500 - Kommuneforvaltningen
haeren.no,Local or regional government,Stiklestad Nasjonale Kultursenter AS,Verdal,Nord-Trøndelag,Verdal,Norway,956298660,6500 - Kommuneforvaltningen
haf.no,Local or regional government,Helgeland Avfallsforedling Iks,Mo I Rana,Nordland,Rana,Norway,971140496,6500 - Kommuneforvaltningen
hafslo-bhg.no,Local or regional government,Luster Kommune,Gaupne,Sogn og Fjordane,Luster,Norway,964968241,6500 - Kommuneforvaltningen
hagamleprestegard.no,Local or regional government,Hå Kommune,Varhaug,Rogaland,Hå,Norway,964969590,6500 - Kommuneforvaltningen
hahistorie.no,Local or regional government,Hå Kommune,Varhaug,Rogaland,Hå,Norway,964969590,6500 - Kommuneforvaltningen
hajabarnehage.no,Local or regional government,Hammerfest Kommune,Hammerfest,Finnmark,Hammerfest,Norway,964830533,6500 - Kommuneforvaltningen
halbrend.no,Local or regional government,Førde Kommune,Førde,Sogn og Fjordane,Førde,Norway,963923511,6500 - Kommuneforvaltningen
haldde.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
halden350.no,Local or regional government,Østfoldmuseene,Sarpsborg,Østfold,Sarpsborg,Norway,994963910,6500 - Kommuneforvaltningen
haldengjestehavn.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
halden-gs.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
haldenhavn.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
haldenhavnevesen.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
haldenkommune.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
haldenmusikk.no,Local or regional government,Østfoldmuseene,Sarpsborg,Østfold,Sarpsborg,Norway,994963910,6500 - Kommuneforvaltningen
haldenskole.no,Local or regional government,Halden Kommune,Halden,Østfold,Halden,Norway,959159092,6500 - Kommuneforvaltningen
hald-ikt.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
haldit.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
hald-it.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
hald-kommune.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
hald-kommuner.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
hallingaure.no,Local or regional government,Regionrådet For Hallingdal,Torpo,Buskerud,Ål,Norway,975576469,6500 - Kommuneforvaltningen
hallingdal.no,Local or regional government,Regionrådet For Hallingdal,Torpo,Buskerud,Ål,Norway,975576469,6500 - Kommuneforvaltningen
hallingdal2020.no,Local or regional government,Regionrådet For Hallingdal,Torpo,Buskerud,Ål,Norway,975576469,6500 - Kommuneforvaltningen
hallingdalbibliotek.no,Local or regional government,Gol Kommune,Gol,Buskerud,Gol,Norway,964952612,6500 - Kommuneforvaltningen
hallingdalkulturhus.no,Local or regional government,Ål Kommune Kultursektor,Ål,Buskerud,Ål,Norway,974639793,6500 - Kommuneforvaltningen
hallingdal-kulturhus.no,Local or regional government,Ål Kommune Kultursektor,Ål,Buskerud,Ål,Norway,974639793,6500 - Kommuneforvaltningen
hallingdalrenovasjon.no,Local or regional government,Hallingdal Renovasjon Iks,Ål,Buskerud,Ål,Norway,951608629,6500 - Kommuneforvaltningen
