ORGNR,DOMAIN NAME,DNSSEC
8.42952972E8,bypakkenedreglomma.no,Usignert
8.42952972E8,xn--stfoldfk-44a.no,Usignert
8.42952972E8,solfylket.no,Signert
8.42952972E8,stateofsmart.no,Signert
8.42952972E8,ufestival.no,Signert
8.42952972E8,xn--klimastfold-kgb.no,Signert
8.42952972E8,klimaostfold.no,Signert
8.42952972E8,bvdfredrikstad.no,Signert
8.42952972E8,fredrikstenmusikkfestuke.no,Signert
8.42952972E8,ufest.no,Signert
8.42952972E8,xn--planstfold-3cb.no,Signert
8.42952972E8,planostfold.no,Signert
8.42952972E8,scenekunstostfold.no,Signert
8.42952972E8,www.xn--stfold-9xa.no,Usignert
8.42952972E8,www.ostfold.no,Usignert
8.42952972E8,valgostfold.no,Signert
8.42952972E8,xn--unginfo-stfold-xqb.no,Usignert
8.42952972E8,xn--stfoldkonferansen-z0b.no,Signert
8.42952972E8,ostfoldfk.no,Usignert
8.42952972E8,ostfoldanalyse.no,Usignert
8.42952972E8,ostfold-historie.no,Usignert
8.42952972E8,opplevelseskonferansen.no,Signert
8.42952972E8,operaostfold.no,Usignert
8.42952972E8,metrobuss.no,Signert
8.42952972E8,kulturutvikling.no,Signert
8.42952972E8,kulturkode.no,Usignert
8.42952972E8,glommaringen.no,Signert
8.42952972E8,glemmenmedia.no,Signert
8.42952972E8,glemmy.no,Signert
8.42952972E8,xn--fk-kka.no,Signert
8.42952972E8,deltak.no,Usignert
8.42952972E8,deltakfestival.no,Usignert
8.42952972E8,bokflyt.no,Usignert
8.42952972E8,snillsnakk.no,Signert
8.44162502E8,www.granvin.no,Usignert
8.44162502E8,trebygda.no,Signert
8.44458312E8,designmanual-os.no,Signert
8.44458312E8,lunde.gs.hl.no,Signert
8.44458312E8,nnus.no,Signert
8.44458312E8,iktplanmh.no,Signert
8.44458312E8,osbibliotek.no,Signert
8.44458312E8,osfolkebibliotek.no,Signert
8.44458312E8,osvo.no,Signert
8.44458312E8,www.osoyro.no,Usignert
8.44458312E8,www.os.hordaland.no,Usignert
8.44458312E8,vuk.no,Signert
8.44458312E8,vpn.os.hordaland.no,Usignert
8.44458312E8,osuskule.no,Signert
8.44458312E8,oskommune.no,Signert
8.44458312E8,osinspirerer.no,Signert
8.44458312E8,osbadet.no,Signert
8.44458312E8,oppvekst.os.hordaland.no,Usignert
8.44458312E8,nore-neset.no,Signert
8.44458312E8,noreneset.no,Signert
8.44458312E8,kartios.no,Signert
8.44458312E8,helpdesk.os.hordaland.no,Usignert
8.44458312E8,fjordbyenos.no,Signert
8.44458312E8,elevos.no,Signert
8.44458312E8,bjornefjorden.no,Usignert
8.44458312E8,bibliotek.os.hordaland.no,Usignert
8.44824122E8,studiesenteretrkkvefsn.no,Signert
8.44824122E8,centrumlegekontor.no,Signert
8.44824122E8,mosjoen-oppvekstsenter.no,Signert
8.44824122E8,www.vefsn.no,Usignert
8.44824122E8,vefsnfrivillig.no,Usignert
8.44824122E8,vefsnsko.no,Usignert
8.44824122E8,vefsnkommune.no,Usignert
8.44824122E8,vefsn-kommune.no,Usignert
8.44824122E8,raadhus.no,Signert
8.44824122E8,olderskog-skole.no,Signert
8.44824122E8,mosjoenkino.no,Signert
8.44824122E8,mosjoenkulturhus.no,Signert
8.44824122E8,mosjoen-skole.no,Signert
8.44824122E8,kippermoen-ungdomsskole.no,Signert
8.44824122E8,kippermoen-bibliotek.no,Signert
8.44824122E8,kippermoen.no,Signert
8.44824122E8,helgelandskartet.no,Signert
8.44824122E8,elsfjord-oppvekstsenter.no,Signert
8.44824122E8,byparken.no,Signert
8.45152012E8,myre-havn.no,Signert
8.45152012E8,myreskole.no,Signert
8.45152012E8,skreifestival.no,Signert
8.45152012E8,marintsenter.no,Signert
8.45152012E8,dronningruta.no,Signert
8.45152012E8,oksnesdagan.no,Signert
8.45152012E8,alsvagskole.no,Signert
8.45241112E8,franaskolen.no,Signert
8.45241112E8,sammenforlindring.no,Signert
8.45241112E8,aureosenskule.no,Signert
8.45241112E8,jendemskule.no,Signert
8.45241112E8,gammaltff.no,Signert
8.45241112E8,frenakultur.no,Signert
8.45241112E8,sylteogmalmeskule.no,Signert
8.45241112E8,6440.no,Signert
8.45241112E8,tornesbarnehage.no,Signert
8.45241112E8,tornesskule.no,Signert
8.45241112E8,sylteskule.no,Signert
8.45241112E8,malmeskule.no,Signert
8.45241112E8,hustadbarnehage.no,Signert
8.45241112E8,hustadskole.no,Signert
8.45241112E8,haukaasskole.no,Signert
8.45241112E8,fropp.no,Signert
8.45241112E8,frenaungdomsskule.no,Signert
8.45241112E8,frenalegekontor.no,Signert
8.45241112E8,frenafrivillig.no,Signert
8.45241112E8,budbarnehage.no,Signert
8.45241112E8,budskule.no,Signert
8.45241112E8,bjornsundleirskole.no,Signert
8.45901422E8,sandhornoy.no,Usignert
8.45901422E8,sekretariatet.no,Signert
8.45901422E8,eliasblix.no,Signert
8.46316442E8,hemnesskolene.no,Signert
8.46316442E8,nordlandsavis.no,Usignert
8.46316442E8,korgenlegekontor.no,Usignert
8.46316442E8,hemnesbergetlegekontor.no,Usignert
8.46316442E8,finniklubben.no,Signert
8.47737492E8,sortlandkommunalelegekontor.no,Signert
8.47737492E8,vestbv.no,Signert
8.47737492E8,sortlandby.no,Signert
8.47737492E8,bluecity.no,Signert
8.56167402E8,ngir.no,Usignert
8.57566122E8,hennummarka.gs.bu.no,Usignert
8.57566122E8,lierdrift.no,Signert
8.57566122E8,vivaiks.no,Signert
8.57566122E8,viva-iks.no,Signert
8.57566122E8,ungilier.no,Signert
8.57566122E8,lieropplevelser.no,Signert
8.57566122E8,fjordbyenld.no,Signert
8.57566122E8,fjordbyenlierdrammen.no,Signert
8.57566122E8,fjordbyen-lier.no,Signert
8.57566122E8,lierkulturscene.no,Signert
8.57566122E8,sankthallvardsstrand.no,Signert
8.57566122E8,fremtidskommunen.no,Signert
8.57566122E8,regionvestviken.no,Signert
8.57566122E8,pilotlier.no,Signert
8.57566122E8,polier.no,Signert
8.57566122E8,po-lier.no,Signert
8.57566122E8,hurumskolen.no,Signert
8.57566122E8,www.lier.no,Usignert
8.57566122E8,tranbyskole.no,Signert
8.57566122E8,laeringsledelse.no,Signert
8.57566122E8,lierskolen.no,Signert
8.57566122E8,lhikt.no,Signert
8.57566122E8,lh-ikt.no,Signert
8.57566122E8,landbrukskontor.no,Signert
8.57566122E8,framtidskommunen.no,Signert
8.59223672E8,jaerbiblioteka.no,Usignert
8.59223672E8,livsgledefestivalen.no,Signert
8.59223672E8,timeskule.no,Signert
8.59223672E8,xn--jrenkommune-98a.no,Signert
8.59223672E8,time-skulebibliotek.no,Signert
8.59223672E8,matematica.no,Signert
8.59223672E8,mittnyejaeren.no,Signert
8.59223672E8,xn--mittnyejren-h9a.no,Signert
8.59223672E8,mitt-nye-jaeren.no,Signert
8.59223672E8,min-nye-kommune.no,Signert
8.59223672E8,minnyekommune.no,Signert
8.59223672E8,xn--jrskulen-j0a.no,Signert
8.59223672E8,jarskulen.no,Signert
8.59223672E8,jaerskulen.no,Signert
8.59223672E8,brynekompetansesenter.no,Signert
8.59223672E8,brynekino.no,Usignert
8.59223672E8,www.time.no,Usignert
8.59223672E8,www.bryne.no,Signert
8.59223672E8,time.folkebibl.no,Usignert
8.59223672E8,time-bibliotek.no,Usignert
8.59223672E8,timekulturskule.no,Signert
8.59223672E8,time-kulturskule.no,Signert
8.59223672E8,tilgjengekyrkja.no,Signert
8.59223672E8,midtpunktet.no,Signert
8.59223672E8,xn--jrbiblioteka-6cb.no,Usignert
8.59223672E8,fritzroed.no,Usignert
8.59223672E8,brynekonferansen.no,Signert
8.61381722E8,tbus.no,Signert
8.61381722E8,parkenungdomsklubb.no,Usignert
8.61381722E8,landsbymat.no,Signert
8.61381722E8,landsbyfestivalen.no,Signert
8.61381722E8,landsbyhistorier.no,Signert
8.61381722E8,landsbyendokka.no,Signert
8.61381722E8,1414.no,Signert
8.63320852E8,flakstad-utvikling.no,Usignert
8.63320852E8,flakstad-info.no,Usignert
8.63320852E8,www.flakstad.no,Usignert
8.63320852E8,ramskole.no,Signert
8.63320852E8,flakstad.folkebibl.no,Usignert
8.64338712E8,osteroytunet.no,Usignert
8.64338712E8,skulenh.no,Signert
8.64338712E8,iktnh.no,Signert
8.64338712E8,www.osteroy.no,Usignert
8.64338712E8,osteroyskulen.no,Signert
8.64870732E8,kystplantroms.no,Signert
8.64870732E8,arcticairlink.no,Usignert
8.64870732E8,musikkdansdrama.no,Signert
8.64870732E8,danselinja.no,Signert
8.64870732E8,dramalinja.no,Signert
8.64870732E8,tromssikkerhetssenter.no,Signert
8.64870732E8,havarivernsenteret.no,Signert
8.64870732E8,www.troms.no,Usignert
8.64870732E8,vri-troms.no,Usignert
8.64870732E8,ungitroms.no,Usignert
8.64870732E8,tromskortet.no,Usignert
8.64870732E8,tromsfk.no,Usignert
8.64870732E8,tromsfylke.no,Usignert
8.64870732E8,troms-fylkestrafikk.no,Usignert
8.64870732E8,tromsatlas.no,Usignert
8.64870732E8,smi-skolen.no,Usignert
8.64870732E8,nuorraromssas.no,Usignert
8.64870732E8,northernthinktank.no,Usignert
8.64870732E8,nordomradene.no,Usignert
8.64870732E8,norecca.no,Usignert
8.64870732E8,k-sekretariatet.no,Usignert
8.64870732E8,grundercenter.no,Usignert
8.64870732E8,fylkestrafikk.no,Usignert
8.64870732E8,fjordgaten.no,Usignert
8.64870732E8,finsk.no,Signert
8.64870732E8,fagskolentroms.no,Usignert
8.64870732E8,177troms.no,Usignert
8.64947352E8,landbrukhsa.no,Signert
8.64947352E8,spydebergskolen.no,Signert
8.64947352E8,iobr.no,Signert
8.64947352E8,xn--ibr-0na.no,Signert
8.64947352E8,www.spydeberg.no,Signert
8.64947352E8,spydebergungdomsskole.no,Usignert
8.64947352E8,hovinskole.no,Usignert
8.64948502E8,sate.no,Usignert
8.64948502E8,www.trysil.no,Usignert
8.64948502E8,trysil.folkebibl.no,Usignert
8.64948502E8,trysilungdomsskole.no,Signert
8.64948502E8,trysilskogen.no,Usignert
8.64948502E8,sporisno.no,Usignert
8.64948502E8,skandinaviskrovviltsenter.no,Usignert
8.64948502E8,rovviltsenter.no,Usignert
8.64948502E8,rovvilt.no,Usignert
8.64948502E8,norskrovviltsenter.no,Usignert
8.64948502E8,gimegena.no,Usignert
8.64949762E8,gjerdrum-kulturskole.no,Signert
8.64949762E8,gjerdrumkulturskole.no,Signert
8.64950582E8,vaktmesterbok.no,Usignert
8.64950582E8,sommeriringsaker.no,Signert
8.64950582E8,walk-the-talk.no,Signert
8.64950582E8,www.ringsaker.no,Usignert
8.64950582E8,skihotell.no,Signert
8.64950582E8,xn--prysenhuset-hgb.no,Signert
8.64950582E8,proysenhuset.no,Signert
8.64950582E8,proysenfestivalen.no,Signert
8.64950582E8,detgronneskiftet.no,Signert
8.64951732E8,hofskole.no,Signert
8.64951732E8,visiteidsfoss.no,Usignert
8.64951732E8,hof.folkebibl.no,Usignert
8.64951732E8,gamle-eidsfos.no,Usignert
8.64952992E8,landsdelsscenefordans.no,Signert
8.64952992E8,nesch-museet.no,Signert
8.64952992E8,leikskeid-festivalen.no,Signert
8.64952992E8,leikskeid.no,Signert
8.64952992E8,velkommentilbords.no,Usignert
8.64952992E8,www.xn--l-1fa.no,Usignert
8.64952992E8,www.al.no,Usignert
8.64952992E8,nedreaal.no,Usignert
8.64952992E8,leveldskule.no,Signert
8.64952992E8,xn--l52-tla.no,Usignert
